Standard Relation,Standard Type,Standard Units,Standard Value,canonical_smiles,DOI
=,Papp,ucm/s,6.9,CCOC(=O)C1=C(N=C(C(=C1)C#N)N2CCC(CC2)NC(=O)NS(=O)(=O)C3=CC=C(S3)Cl)C, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.3,CCOC(=O)C1=C(N=C(C(=C1)C#N)N2CCN(CC2)C(=O)NS(=O)(=O)C3=CC=CC=C3)C, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.5,CCCCOC(=O)C1=CC(=C(N=C1)N2CCN(CC2)C(=O)NS(=O)(=O)C3=CC=C(S3)Cl)Cl, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.12,C1CC1C(=O)C2=CC(=C(N=C2)N3CCN(CC3)C(=O)NS(=O)(=O)C4=CC=C(S4)Cl)Cl, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.54,CCOC(=O)C1=CC(=C(N=C1)N2CCN(CC2)C(=O)NS(=O)(=O)C3=CC=C(C=C3)F)Cl, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.44,CC(C)CCOC(=O)C1=CC(=C(N=C1)N2CCN(CC2)C(=O)NS(=O)(=O)C3=CC=C(S3)Cl)Cl, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.076,CCOC(=O)C1=C(N=C(C(=C1)C#N)N2CCN(CC2)C(=O)NS(=O)(=O)C3=CC=C(S3)Cl)C(F)(F)F, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,1.2,CCOC(=O)C1=CC(=C(N=C1)N2CCN(CC2)C(=O)NS(=O)(=O)C3=CC=C(C=C3)Cl)Cl, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,3.9,CCOC(=O)C1=CC(=C(N=C1)N2CC(C2)NC(=O)NS(=O)(=O)C3=CC=CC=C3)Cl, 10.1016/j.ejmech.2013.04.007
=,Papp,ucm/s,0.41,CCOC(=O)C1=C(N=C(C(=C1)C#N)N2CC(C2)NC(=O)NS(=O)(=O)C3=CC=CC=C3)C, 10.1016/j.ejmech.2013.04.007
=,Papp,10'6cm/s,50.0,CCC(CC)C(CO)NS(=O)(=O)C1=CC=C(S1)Cl, 10.1021/jm801252w
=,Papp,10'6cm/s,0.19,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O, 10.1021/jm301721e
=,Papp,10'6cm/s,3.45,CCOC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCNCC3)C4CC4, 10.1021/jm301721e
=,Papp,10'6cm/s,0.43,CCCOC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCNCC3)C4CC4, 10.1021/jm301721e
=,Papp,10'6cm/s,1.01,COC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCNCC3)C4CC4, 10.1021/jm301721e
=,Papp,10'6cm/s,4.69,CC(C)OC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCNCC3)C4CC4, 10.1021/jm301721e
=,Papp,10'6cm/s,4.95,CCCCOC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCNCC3)C4CC4, 10.1021/jm301721e
=,Papp,10'6cm/s,6.42,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)OCC5=CC=CC=C5, 10.1021/jm301721e
=,Papp,10'6cm/s,13.88,CCCCCCOC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCNCC3)C4CC4, 10.1021/jm301721e
=,Papp,ucm/s,7.83,C1CC(CCC1CN)C(=O)O, 10.1021/jm301818g
<,Papp,ucm/s,0.01,C1CNCCC1C2=CC(=O)NO2, 10.1021/jm301818g
=,Papp,ucm/s,6.0,CC1=CC(=NC2=C(C=NN12)C(=O)NC3=CC=C(C=C3)C#C)C, 10.1021/jm300063b
=,Papp,ucm/s,14.6,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4, 10.1021/jm3005543
=,Papp,ucm/s,17.8,C1CN(CCN1C2=CC=C(C=C2)O)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4, 10.1021/jm3005543
=,Papp,ucm/s,0.6,C1CN(CCN1C2=CC=C(C=C2)C(=O)O)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4, 10.1021/jm3005543
=,Papp,ucm/s,54.3,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=C(C=C4C(=C3)CC(=O)N4)Cl, 10.1021/jm3005543
=,Papp,10'-6 cm/s,3.32,C1CCC(C1)OC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CF)O)O)N, 10.1016/j.bmcl.2011.05.128
=,Papp,10'-6 cm/s,0.28,C1CCC(C1)OC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N, 10.1016/j.bmcl.2011.05.128
=,Papp,10'-6 cm/s,7.26,CC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)OC4CCCC4)N)O)O, 10.1016/j.bmcl.2011.05.128
=,Papp,10'-6 cm/s,0.22,CC1=C(C(=NC=N1)C)C(=O)N2CC3CN(CC3C2)CCC(C4=CC(=CC=C4)F)NC(=O)C5CCC(CC5)(F)F, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,2.98,CC1=C(C(=NC=N1)C)C(=O)N2CC3CN(CC3C2)CCC4(CCN(CC4)C(=O)C(C)(C)C)C5=CC(=CC=C5)F, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,2.73,CC1=CC(=NC(=C1C(=O)N2CC3CN(CC3C2)CCC4(CCN(CC4)C(=O)C(C)(C)C)C5=CC(=CC=C5)F)C)C#N, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,2.55,CC1=CC(=NC(=C1C(=O)N2CC3CN(CC3C2)CCC4(CCN(C4)C(=O)C5CCCC5)C6=CC=CC=C6)C)C#N, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,0.53,CC1=CC(=NC(=C1C(=O)N2CC3CN(CC3C2)CCC4(CN(C4)C(=O)C5CCC(CC5)(F)F)C6=CC=CC=C6)C)C#N, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,0.44,CC1=CC(=NC(=C1C(=O)N2CC3CN(CC3C2)CCC4(CN(C4)C(=O)C5CC(C5)(F)F)C6=CC=CC=C6)C)C#N, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,1.72,CC1=CC(=NC(=C1C(=O)N2CC3CN(CC3C2)CCC4(CN(C4)C(=O)C5CCC(CC5)(F)F)C6=CC=CC=C6)C)C(F)(F)F, 10.1016/j.bmcl.2009.11.072
=,Papp,10'-6 cm/s,1.59,CC1=CC(=NC(=C1C(=O)N2CC3CN(CC3C2)CCC4(CN(C4)C(=O)C5CC(C5)(F)F)C6=CC=CC=C6)C)C(F)(F)F, 10.1016/j.bmcl.2009.11.072
=,Papp,ucm/s,3.99,CCOP(=O)(C(CC1=CC(=C(C=C1)F)F)C2=C(C3=CC=CC=C3S2)C)OCC, 10.1016/j.bmcl.2012.02.060
=,Papp,ucm/s,0.075,CC1=C(SC2=CC=CC=C12)C(CC3=CC(=C(C=C3)F)F)P(=O)(OC(C)C)OC(C)C, 10.1016/j.bmcl.2012.02.060
=,Papp,ucm/s,2.9,CC1CCC2(CCC3(C(=CC(=O)C4C3(CCC5C4(CCC(C5(C)C(=O)O)O)C)C)C2C1C)C)C, 10.1021/np300009w
=,Papp,ucm/s,2.5,CC1CCC2(CCC3(C(=CC(=O)C4C3(CCC5C4(CCC(C5(C)C(=O)O)OC(=O)C)C)C)C2C1C)C)C, 10.1021/np300009w
>,Papp,ucm/s,3.0,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC(=C3O2)CC(=O)O)C, 10.1007/s00044-012-0203-y
=,logPapp,-,-4.71,C1=CC=C2C(=C1)C(=O)C3=C(O2)C(=C(C=C3)O)O, 10.1007/s00044-012-0203-y
=,Papp,ucm/s,19.4,C1=CC=C2C(=C1)C(=O)C3=C(O2)C(=C(C=C3)O)O, 10.1007/s00044-012-0203-y
=,logPapp,-,-4.85,CC1(CCC2=CC3=C(C(=C2O1)O)OC4=CC=CC=C4C3=O)C, 10.1007/s00044-012-0203-y
=,Papp,ucm/s,14.2,CC1(CCC2=CC3=C(C(=C2O1)O)OC4=CC=CC=C4C3=O)C, 10.1007/s00044-012-0203-y
=,logPapp,-,-4.82,C1=CC=C2C(=C1)C(=O)C3=C(O2)C=CC(=C3O)O, 10.1007/s00044-012-0203-y
=,Papp,ucm/s,15.2,C1=CC=C2C(=C1)C(=O)C3=C(O2)C=CC(=C3O)O, 10.1007/s00044-012-0203-y
=,logPapp,-,-4.84,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=CC4=C3OC5=CC=CC=C5C4=O)CO)O, 10.1007/s00044-012-0203-y
=,Papp,ucm/s,14.4,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=CC4=C3OC5=CC=CC=C5C4=O)CO)O, 10.1007/s00044-012-0203-y
=,Papp,10'-6 cm/s,24.0,CCCC1(C2=C(CCO1)C3=C(C=CC(=C3N2)C)C#N)CC(=O)O, 10.1016/j.bmcl.2010.03.002
=,Papp,10'-6 cm/s,3.2,CCCC1(C2=C(CCO1)C3=C(C=CC(=C3N2)C)C#N)C(=O)O, 10.1016/j.bmcl.2010.03.002
=,Papp,10'6cm/s,4.73,CNS(=O)(=O)C1=CC=C(C=C1)CC(=O)N(CC=C)C2CCN(CC2)CC3CN(CC3(C4=CC=CC=C4)O)C(=O)C5CCCC5, 10.1016/j.bmcl.2010.05.102
=,Papp,10'-6 cm/s,36.7,CS(=O)(=O)NCC1CCC(CC1)NC2=NC3=C(S2)CCSC4=CC=CC=C43, 10.1016/j.bmcl.2011.06.124
=,Papp,ucm/s,57.0,CN(C1CCN(CC1)CC2=CC=C(C=C2)C(F)(F)F)C(=O)CC3=CC=C(C=C3)N4C=NN=N4, 10.1016/j.bmcl.2011.10.033
=,Papp,cm'-6/s,38.0,C1C(CC(=O)CC1=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F, 10.1016/j.bmc.2011.11.039
=,Papp,cm'-6/s,24.8,CC(C1CC(=O)CC(=O)C1)OC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F, 10.1016/j.bmc.2011.11.039
=,Papp,ucm/s,0.0,CC(C)(C1CCNCC1)NC(=O)C2=NC(=CN=C2N)C3=CC=CC(=C3)C4=CN=C(C=C4)N, 10.1016/j.bmcl.2012.02.087
=,Papp,ucm/s,28.0,CN1C=C(C=N1)C2=CC(=CC=C2)C3=CN=C(C(=N3)C(=O)NC4C5CC6CC4CC(C6)(C5)O)N, 10.1016/j.bmcl.2012.02.087
=,Papp,10^-6 cm/s,0.13,CN1C(=O)C(=C(C=N1)OC)C2=CC=C(C=C2)CC(C(=O)O)NC(=O)C3=C(C=CC=C3Cl)Cl, 10.1016/j.bmcl.2008.01.022
=,Papp,10^-6 cm/s,0.16,CN1C(=O)C(=C(C=N1)C2=CC=C(C=C2)F)C3=CC=C(C=C3)CC(C(=O)O)NC(=O)C4=C(C=CC=C4Cl)Cl, 10.1016/j.bmcl.2008.01.022
=,Papp,10^-6 cm/s,0.02,CN1C(=O)C(=C(C=N1)OC)C2=CC=C(C=C2)CC(C3=NNN=N3)NC(=O)C4=C(C=CC=C4Cl)Cl, 10.1016/j.bmcl.2008.01.022
=,Papp,10^-6 cm/s,2.5,CN1C(=O)C(=C(C=N1)OC)C2=CC=C(C=C2)CC(CO)NC(=O)C3=C(C=CC=C3Cl)Cl, 10.1016/j.bmcl.2008.01.022
=,Papp,ucm/s,7.3,CC1=CC=C(C=C1)C2=CC(=CC=C2)C3=NNN=N3, 10.1021/ml3000935
<,Papp,ucm/s,0.3,C1=CC(=CC(=C1)C2=CC(=CC=C2)C3=NNN=N3)C#N, 10.1021/ml3000935
=,Papp,ucm/s,2.3,CC1C(=O)N=S(=O)(N1)C2=CC=CC(=C2)C3=CC=CC(=C3)C#N, 10.1021/ml3000935
=,Papp,ucm/s,66.0,CC1C(=O)N=S(=O)(N1)C2=CC=CC(=C2)C3=CC=C(C=C3)C, 10.1021/ml3000935
=,Papp,ucm/s,9.0,CCCC(CC1(CCCC1)C(=O)NC2=NN=C(S2)CC)C(=O)O, 10.1016/j.bmc.2006.10.002
=,Papp,ucm/s,1.0,COCCC(CC1(CCCC1)C(=O)NC2(CC3=CC=CC=C3C2)CO)C(=O)O, 10.1016/j.bmc.2006.10.002
=,Papp,ucm/s,12.0,COCCC(CC1(CCCC1)C(=O)NCCCC2=CC=C(C=C2)Cl)C(=O)O, 10.1016/j.bmc.2006.10.002
=,Papp,ucm/s,7.0,COCCC(CC1(CCCC1)C(=O)NC2CC2C3=CC=C(C=C3)OC)C(=O)O, 10.1016/j.bmc.2006.10.002
=,Papp,ucm/s,12.0,COCCC(CC1(CCCC1)C(=O)NCCCC2=CC=C(C=C2)F)C(=O)O, 10.1016/j.bmc.2006.10.002
=,Papp,ucm/s,13.0,CC1=C(C(=NN1CC2=CC=CC=C2S(=O)(=O)C3=CC=CC=C3)C4=CC=CC=C4)CC(=O)O, 10.1016/j.bmcl.2013.03.093
=,Papp,ucm/s,3.0,CC1=C(C(=NN1C2=CC=CC(=C2)NC(=O)C3CC3C4=CC=CC=C4)C)CC(=O)O, 10.1016/j.bmcl.2013.03.093
=,Papp,ucm/s,7.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)O)C(=O)NCC3=CC=CC=C3, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,9.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)O)C(=O)NCC3=CC=C(C=C3)F, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,9.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)O)C(=O)NCC3=CC(=C(C=C3)F)F, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,15.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)OC)C(=O)NCC3=CC=CC=C3, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,0.02,CC1=C(SC(=N1)N2C=CC(=CC2=O)OCC3=CC=CC=C3)C(=O)NCC4=CC=CC=C4, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,0.05,CC1=C(SC(=N1)N2C=CC(=CC2=O)OCCC3CC3)C(=O)NCC4=CC=CC=C4, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,28.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)C3CC3)C(=O)NCC4=CC=CC=C4, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,1.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)C3=CC=CC=C3)C(=O)NCC4=CC=CC=C4, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,0.6,CC1=C(SC(=N1)N2C=CC(=CC2=O)CCC3=CC=CC=C3)C(=O)NCC4=CC=CC=C4, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,11.0,CC1=C(SC(=N1)N2C=CC(=CC2=O)OCC3=CSC=N3)C(=O)NCC4=CC=CC=C4, 10.1016/j.bmcl.2013.12.035
=,Papp,ucm/s,1.0,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=NC=CC(=C3)Cl, 10.1021/jm3012273
=,Papp,ucm/s,23.0,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)OCC3=CC=CC=C3, 10.1021/jm3012273
=,Papp,ucm/s,20.0,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=CC=CC=C3, 10.1021/jm3012273
>,Papp,ucm/s,33.0,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=NC=CC(=C3)Cl, 10.1021/jm3012273
=,Papp,ucm/s,1.6,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=N3, 10.1021/jm3012273
=,Papp,ucm/s,1.0,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)S(=O)(=O)CC3=CC=CC=C3, 10.1021/jm3012273
=,Papp,ucm/s,6.0,CCCC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3, 10.1021/jm3012273
=,Papp,ucm/s,8.0,CC(C)(C)C(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3, 10.1021/jm3012273
=,Papp,ucm/s,1.0,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)S(=O)CC3=CC=CC=C3, 10.1021/jm3012273
=,Papp,10^-6 cm/s,0.4,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3C4=CC=C(C=C4)C(F)(F)F)C=C1C(=O)NC(C5=CC=CC=C5)C(=O)N(C)CC6=CC=CC=C6, 10.1016/j.bmcl.2007.01.018
=,Papp,ucm/s,11.1,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(=O)NC5(CC5C=CCCCCCC(=O)N4C3)C(=O)NS(=O)(=O)C6(CC6)C)C7=NC(=CS7)C(C)C)OC, 10.1021/jm401507s
=,Papp,ucm/s,26.0,CC1=C(C=CC2=C1N=C(N=C2OC3CC4C(=O)NC5(CC5C=CCCCCN(C(=O)N4C3)C)C(=O)NS(=O)(=O)C6CC6)C7=CC=CC=C7)OC, 10.1021/jm401507s
=,Papp,ucm/s,33.0,CC1=C(C=CC2=C1N=C(N=C2OC3CC4C(=O)NC5(CC5C=CCCCCN(C(=O)N4C3)C)C(=O)NS(=O)(=O)C6CC6)C7=CC=C(C=C7)OC)OC, 10.1021/jm401507s
=,Papp,ucm/s,15.0,CCC1=CN=C(S1)C2=C(C=C(C=C2)C)NC(=O)OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C, 10.1021/jm401507s
=,Papp,ucm/s,46.0,CC(=O)NC1=NC2=C(S1)C=C(C=C2)C3=CN=C(C=C3)N, 10.1016/j.bmcl.2013.06.010
=,Papp,ucm/s,16.0,CC(=O)NC1=NC2=C(S1)C=C(C=C2)C3=CC(=C(N=C3)N)C(F)(F)F, 10.1016/j.bmcl.2013.06.010
=,Papp,ucm/s,40.0,CC(=O)NC1=CN2C=C(C=CC2=N1)C3=CC(=C(N=C3)N)C(F)(F)F, 10.1016/j.bmcl.2013.06.010
=,Papp,ucm/s,6.7,CC(=O)NC1=NC2=C(S1)C=C(C=C2)C3=CC(=C(N=C3)N)OC, 10.1016/j.bmcl.2013.06.010
=,Papp,ucm/s,0.36,CC(C)(C)NC(=O)NC(C1=CC(=C(C=C1)OC2=NC(=NC(=C2)OC)C3=CC=CC=C3)C=C)C(=O)NC4=CC=CC(=C4)C(=O)NS(=O)(=O)C5=CC=C(C=C5)C(F)(F)F, 10.1021/ml400217r
=,Papp,ucm/s,5.7,CC(C)(C)OC(=O)NC(C1=CC(=C(C=C1)OC2=NC(=NC(=C2)OC)C3=CC=CC=C3)C=C)C(=O)NC4=CC=C(C=C4)C(=O)NS(=O)(=O)C5=CC=C(C=C5)C(F)(F)F, 10.1021/ml400217r
=,Papp,ucm/s,9.7,CC(C)(C)C(C(=O)NC(C1=CC(=C(C=C1)OC2=NC(=NC(=C2)OC)C3=CC=CC=C3)C=C)C(=O)NC4=CC=CC(=C4)C(=O)NS(=O)(=O)C5=CC=C(C=C5)C(F)(F)F)NC(=O)OC(C)(C)C, 10.1021/ml400217r
=,Papp,ucm/s,1.0,CC(C)(C)OC(=O)NC(C1=CC(=C(C=C1)OC2=NC(=NC(=C2)OC)C3=CC=CC=C3)C=C)C(=O)NC4=CC=CC(=C4)C(=O)NS(=O)(=O)C5=CC=C(C=C5)C(F)(F)F, 10.1021/ml400217r
=,Papp,ucm/s,1.0,CC(C)(C)OC(=O)NC(C1=CC(=C(C=C1)OC2=NC(=NC(=C2)OC)C3=CC=CC=C3)C=C)C(=O)NC4=CC=CC=C4C(=O)NS(=O)(=O)CCCC=C, 10.1021/ml400217r
=,Papp,ucm/s,4.0,CC(C)(C)OC(=O)NC(C1=CC(=C(C=C1)OC2=NC(=NC(=C2)OC)C3=CC=CC=C3)C=C)C(=O)NC4=CC=CC=C4C(=O)NS(=O)(=O)C5=CC=C(C=C5)C(F)(F)F, 10.1021/ml400217r
=,Papp,10'-6 cm/s,52.0,CC1=C(C=CC(=C1)CN(C)C)C(=O)CN2C(=O)C=C(C=N2)OCC3=NC=C(C=C3)OC, 10.1016/j.bmcl.2015.05.065
=,Papp,10'-6 cm/s,15.0,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32, 10.1016/j.bmcl.2009.06.076
=,Papp,10'-6 cm/s,6.0,C1CNCCC1N(CC2=CC=CC=C2)C3=CC4=C(C=C3)NC=C4, 10.1016/j.bmcl.2009.06.076
=,Papp,10'-6 cm/s,4.0,C1CNCCC1N(CC2=CC(=CC=C2)C#N)C3=CC4=C(C=C3)NC=C4, 10.1016/j.bmcl.2009.06.076
=,Papp,10'-6 cm/s,0.7,C1CNCCC1N(CC2=CC(=CC=C2)S(=O)(=O)N)C3=CC4=C(C=C3)NC=C4, 10.1016/j.bmcl.2009.06.076
=,Papp,10'-6 cm/s,7.0,CN1C=CC2=C1C=CC(=C2)N(CC3=CC=CC=C3)C4CCNCC4, 10.1016/j.bmcl.2009.06.076
=,Papp,10'-6 cm/s,1.4,C1CNCCC1N(CC2=CC=CC=C2)C3=CC4=C(C=C3)SC=C4, 10.1016/j.bmcl.2009.06.076
=,Papp,10'-6 cm/s,12.0,CC(C)CN(C1CCNC1)C(=O)C2=C(C(=CC=C2)Cl)Cl, 10.1016/j.bmcl.2009.07.049
=,Papp,ucm/s,8.61,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1, 10.1021/jm300967g
=,Papp,ucm/s,25.9,CN(C)CCOC1=CN=C2C(=N1)N(N=N2)CC3=CC4=C(C=C3)N=CC=C4, 10.1021/jm300967g
=,Papp,ucm/s,21.9,C1CCN(C1)CCN2C=C(C=N2)C3=CN=C4C(=N3)N(N=N4)CC5=CC6=C(C=C5)N=CC=C6, 10.1021/jm300967g
=,Papp,ucm/s,3.1,C1CNCC1N2C=C(C=N2)C3=CN=C4C(=N3)N(N=N4)CC5=CC6=C(C=C5)N=CC=C6, 10.1021/jm300967g
=,Papp,ucm/s,35.4,CC1=CN=C2C(=N1)N(N=N2)CC3=CC4=C(C=C3)N=CC=C4, 10.1021/jm300967g
=,Papp,ucm/s,26.5,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)N)N=C1, 10.1021/jm300967g
=,Papp,ucm/s,46.5,CN(C)CCN1C=C(C=N1)C2=CN=C3C(=N2)N(N=N3)CC4=CC5=C(C=C4)N=CC=C5, 10.1021/jm300967g
=,Papp,ucm/s,16.8,C1CN(CC1N)C2=CN=C3C(=N2)N(N=N3)CC4=CC5=C(C=C4)N=CC=C5, 10.1021/jm300967g
=,Papp,ucm/s,1.12,C1CNCCC1N2C=C(C=N2)C3=CN=C4C(=N3)N(N=N4)CC5=CC6=C(C=C5)N=CC=C6, 10.1021/jm300967g
=,Papp,ucm/s,20.5,CCNC1=CN=C2C(=N1)N(N=N2)CC3=CC4=C(C=C3)N=CC=C4, 10.1021/jm300967g
=,Papp,ucm/s,0.003,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CC(=O)O)N=C1, 10.1021/jm300967g
=,Papp,ucm/s,21.9,C1CC(=O)N(C1)CCN2C=C(C=N2)C3=CN=C4C(=N3)N(N=N4)CC5=CC6=C(C=C5)N=CC=C6, 10.1021/jm300967g
=,Papp,ucm/s,2.08,CN(C)CCNC1=CN=C2C(=N1)N(N=N2)CC3=CC4=C(C=C3)N=CC=C4, 10.1021/jm300967g
=,Papp,ucm/s,24.1,C1CN(CC1O)C2=CN=C3C(=N2)N(N=N3)CC4=CC5=C(C=C4)N=CC=C5, 10.1021/jm300967g
=,Papp,ucm/s,11.8,CN1C=C(C=N1)C2=CN=C3C(=N2)N(N=N3)CC4=CC5=C(C=C4)N=CC=C5, 10.1021/jm300967g
=,Papp,ucm/s,34.5,CC(C)(CN1C=C(C=N1)C2=CN=C3C(=N2)N(N=N3)CC4=CC5=C(C=C4)N=CC=C5)O, 10.1021/jm300967g
=,Papp,ucm/s,25.1,CN1CCN(CC1)C2=CN=C3C(=N2)N(N=N3)CC4=CC5=C(C=C4)N=CC=C5, 10.1021/jm300967g
=,Papp,ucm/s,40.5,C1=CC2=C(C=CC(=C2)CN3C4=NC=CN=C4N=N3)N=C1, 10.1021/jm300967g
=,Papp,ucm/s,2.79,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)NCCO)N=C1, 10.1021/jm300967g
=,Papp,ucm/s,12.0,C1=CC(=CC=C1OC2=NC=CC3=C2C=CN3)F, 10.1016/j.bmcl.2014.04.045
=,Papp,ucm/s,6.0,COC1=C(C=C2C(=C1)C=CN=C2OC3=CC=C(C=C3)F)OC, 10.1016/j.bmcl.2014.04.045
=,Papp,ucm/s,18.0,C1=CC(=CC=C1OC2=NC=NC3=C2C=CN3)F, 10.1016/j.bmcl.2014.04.045
=,Papp,ucm/s,33.0,C1=CC(=C(C=C1F)F)OC2=NC=CC3=C2C=CN3, 10.1016/j.bmcl.2014.04.045
=,Papp,10^-6 cm/s,0.6,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3C4=CC=C(C=C4)C(F)(F)F)C=C1C(=O)NC(C5=CC=CC=C5)C(=O)N(C)CC6=CC=CC=C6, 10.1016/j.bmcl.2007.01.018
=,Papp,ucm/s,8.0,CCC1(C(=O)NC2=C(C=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)F)F)C(=O)N1)C, 10.1039/C3MD00156C
=,Papp,ucm/s,7.0,CC1(C(=O)NC2=C(C(=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F)OC)C(=O)N1)C, 10.1039/C3MD00156C
=,Papp,ucm/s,12.0,CC1(C(=O)NC2=C(C=C(C=C2OC)S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F)C(=O)N1)C, 10.1039/C3MD00156C
=,Papp,ucm/s,9.0,CC1=C(C=CC2=C1C(=O)NC(C(=O)N2)(C)C)S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F, 10.1039/C3MD00156C
=,Papp,ucm/s,9.0,CCC1(C(=O)NC2=C(C=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)C(F)(F)F)F)C(=O)N1)C, 10.1039/C3MD00156C
=,Papp,ucm/s,4.0,CC1(C(=O)NC2=C(C(=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F)F)C(=O)N1)C, 10.1039/C3MD00156C
=,Papp,ucm/s,6.0,CC1(C(=O)NC2=C(C=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F)C(=O)N1)C, 10.1039/C3MD00156C
=,Papp,ucm/s,7.0,CC1=CC2=C(C=C1S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F)C(=O)NC(C(=O)N2)(C)C, 10.1039/C3MD00156C
=,Papp,ucm/s,7.0,CC1=CC(=CC2=C1NC(=O)C(NC2=O)(C)C)S(=O)(=O)NC3=CC=C(C=C3)C(F)(F)F, 10.1039/C3MD00156C
